cLambda FITC,CD117 PE,CD20 PE-CF594,CD138 PC5.5,CD27 PC7,cKappa APC,CD45 A700,CD38 A750,CD56 BV421,CD19 BV510
2167.39209,23.5014,21.8697472,518.613403,23.9279919,1.0,1.0,1715.43787,3.99542046,11.0399914
777.365051,44.1094093,44.5079422,268.959869,248.045441,1.0,1.0,2813.31763,8.2046957,4.61383963
947.463501,31.9084892,31.622776,805.842163,72.9930038,207.20787,5.67422104,2641.64844,1.89384198,4.3714447
2035.13745,31.0590019,100.0,62.0824356,40.3151932,1.0,1.0,5424.69092,9.30572033,8.50525856
1036.63293,25.7132072,111.397385,1124.0387,57.7721786,1.0,15.820447,4031.51929,12.1881418,2.45824409
1045.9989,38.5422897,33.677803,44.9100723,72.3394165,50.0286446,1.0,1860.07837,4.69758892,11.6521549
1963.21899,25.2547894,41.792057,1625.31482,72.3394165,504.80658,36.1904297,3889.052,1.0,11.7574329
827.882568,26.6551571,10.0,95.6023865,117.574326,1.0,10.7460785,1596.3385,6.04296398,9.13981724
239.279922,12.4093781,1407.46472,655.24884,29.1637764,1.0,44.1094093,1197.08508,7.70404387,1.0
655.24884,22.8757324,615.265381,777.365051,20.3513756,1.0,4450.79395,1945.64001,414.178436,1.0
3651.74121,22.6709003,4.53158379,791.475525,14.5902424,16.1076145,71.6916809,1286.39697,2.81331754,7.04135513
361.904297,174.657608,36.1904297,259.455261,7.169168,1.0,1.0,2016.91455,12.4093781,4.53158379
230.824158,26.4164829,1700.07764,161.076157,79.8626556,1.0,5777.21777,791.475525,21.4798508,15.9633856
3522.69458,28.1331749,102.735077,1055.44958,70.4135513,414.178436,64.3566971,4104.69824,1.0,1.51247251
1175.74329,1.0,474.003174,58.8208427,17.4657612,56.2341309,264.164825,691.582092,15.3992653,14.5902424
1684.85486,18.1055832,21.0969048,604.296387,41.792057,1.0,1.0,2480.45435,6.04296398,7.56669521
1357.72717,12.4093781,15.5383987,577.721802,33.3762474,1.0,1.0,2571.3208,2.48045444,3.85422897
107.460785,114.444191,2329.09668,218.697464,152.613785,1.0,1.0,4104.69824,8.13123035,2.59455276
609.756226,17.6235638,1165.21545,316.227753,51.3969688,1.0,2.76316142,1746.57605,5.28027153,1.0
228.757324,20.720787,403.151947,88.1683044,23.290966,1.0,991.045837,3278.12109,12.7487841,5.67422104
1175.74329,30.7808952,112.40387,2942.72729,572.548767,1.0,45.3158379,3219.67847,1.0,16.1076145
1810.55823,1.0,1055.44958,53.279789,25.0286541,36.5174141,1.0,1394.86206,5.77721786,4.86967516
593.522949,4.14178467,1778.27942,118.63662,36.5174141,1.0,1.0,4491.00732,7.98626566,9.91045856
9733.77344,21.4798508,1.0,64.3566971,20.9080009,1.0,1.0,2813.31763,1.0,7.10497427
743.179565,44.5079422,268.959869,181.055832,9.56023884,1.0,1.0,5048.06592,10.7460785,3.39820838
2525.479,2.94272709,685.389587,465.552582,108.431694,1.0,1.0,2738.41968,3.19084907,1.0
736.525024,31.3396225,106.498566,716.916809,15.1247253,1.0,1.0,2641.64844,12.4093781,9.05797768
1715.43787,50.0286446,104.599892,62.6433525,46.9758873,1.0,1.0,6042.96387,6.67142725,19.1095295
562.341309,27.6316147,1036.63293,69.7830582,142.018112,18.6007843,20.5352497,1512.47253,1.0,8.13123035
417.920563,76.3506088,820.469604,119.708504,299.614288,1.0,1.0,2392.79907,6.26433516,10.1815176
120.790077,112.40387,1154.78198,302.321289,107.460785,143.301254,1.0,9560.23926,7.84388542,27.1389942
500.286469,32.196785,62.6433525,375.161926,35.866375,1.0,1.0,3684.73486,5.28027153,6.37804365
2617.99463,15.2613783,1.0,49.1367302,28.1331749,93.0572052,1.0,1445.95996,2.59455276,20.1691456
