cLambda FITC,CD117 PE,CD20 PE-CF594,CD138 PC5.5,CD27 PC7,cKappa APC,CD45 A700,CD38 A750,CD56 BV421,CD19 BV510
2788.12744,57.7721939,12.2982635,1512.4729,1.0,27.6316166,1.0,1094.11401,1.0,14.7220669
930.572205,14.8550797,32.7812119,1684.85498,1.0,63.2093315,1.0,2072.07886,1.0,20.720789
9821.71777,2206.73389,1.0,1625.31506,1.0,71.0497284,1.0,2329.09668,1.0,241.441818
3684.73584,1.0,643.567078,593.52301,1.8938421,1.0,1.0,1843.42334,1.0,1.0
1407.46509,14.4596004,36.5174141,1512.4729,1.0,46.9758873,1.0,3050.52905,1.0,9.64661694
2788.12744,1.0,835.362427,1582.04517,1.0,8.42910004,1.0,1154.78186,1.0,3.81971741
9821.71777,2053.52515,1144.44214,3219.67871,1.0,66.1168976,410.469849,5623.41309,1.0,198.095688
3718.02637,1.0,495.806793,1778.27979,1.0,149.892975,75.6669617,2942.72705,1.0,14.5902414
9821.71777,3586.63916,1.0,2713.89941,1.0,106.49855,1.0,3278.12207,1.0,345.989136
3105.89917,1.0,557.305969,1321.58093,1.0,15.1247272,1.0,3248.76733,1.0,1.0
4293.50879,1.0,358.663727,2287.57397,1.0,79.1475677,6.61169052,2864.38452,1.0,6.73170376
57.7721939,36.1904297,94.7463455,2392.79907,1.0,1.0,1.0,2308.24146,1.0,15.2613783
2617.99463,102.735069,336.778076,1730.93677,1.0,1.0,1.0,4450.79443,1.0,23.290966
9139.81738,1.0,572.548889,1778.27979,14.7220669,1.0,1.0,3162.27734,1.0,1.0
9057.98145,1.0,28.3873596,2480.45532,1.0,28.3873596,1.0,2308.24146,1.0,10.6498566
3684.73584,3.05052805,105.544983,3105.89917,1.0,84.291008,1.0,5623.41309,1.0,30.5052814
3105.89917,1.0,425.506561,1778.27979,1.0,57.7721939,1.0,873.788269,7.23394203,25.0286579
9821.71777,1394.8623,1.0,2392.79907,1.0,16.1076145,1.0,1445.96008,1.0,139.486221
1640.0,25.4829712,2548.29712,2147.98511,361.904297,1.0,1.0,4958.07031,1.0,1.0
9474.63965,1.0,76.3506241,897.687378,1.0,37.8551521,40.679451,1963.21887,1.0,1.49892962
4531.58496,1.0,65.5248718,2480.45532,1.0,42.1696548,1.0,3751.62085,1.0,24.8045444
1980.95691,1.0,9.91045761,1036.63293,1.0,38.5422897,1.0,1407.46509,1.0,3.42891145
798.62677,27.8812656,537.611694,1640.0,1.0,72.9930191,1.0,3105.89917,1.0,10.4599905
2942.72705,1.0,392.418976,1700.07788,1.0,95.6023941,1.0,4531.58496,1.0,17.9434624
567.422119,1.0,1197.08545,410.469849,9.56023884,1.0,82.7882767,723.394226,1.0,4.2169652
